service
"SERVICE hôpital pitié-salpêtrière"
"ADDICTOLOGIE – ELSA – SEVRAGE COMPLEXE"
"ANESTHÉSIE – RÉANIMATION"
"CARDIOLOGIE"
"CENTRE DE DIAGNOSTIC RAPIDE CANCERS ENDOCRINIENS GRAVES"
"CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE"
"CHIRURGIE DIGESTIVE – HÉPATO – BILIO – PANCRÉATIQUE ET TRANSPLANTATION HÉPATIQUE"
"CHIRURGIE ET CANCÉROLOGIE GYNÉCOLOGIQUE ET MAMMAIRE"
"CHIRURGIE GÉNÉRALE A ORIENTATION ENDOCRINIENNE ET GYNÉCOLOGIQUE"
"CHIRURGIE ORTHOPÉDIQUE ET TRAUMATOLOGIQUE"
"CHIRURGIE VASCULAIRE ET ENDOVASCULAIRE – CENTRE AORTIQUE TERTIAIRE"
"DIABÉTOLOGIE"
"ENDOCRINOLOGIE ET MÉDECINE DE LA REPRODUCTION"
"ENDOCRINOLOGIE – MÉTABOLISME ET PRÉVENTION DES MALADIES CARDIO-VASCULAIRES"
"ÉVALUATION ET TRAITEMENT DE LA DOULEUR"
"EXPLORATIONS FONCTIONNELLES DE LA RESPIRATION, DE L’EXERCICE ET DE LA DYSPNÉE"
"GÉNÉTIQUE CLINIQUE"
"GYNÉCOLOGIE ET OBSTÉTRIQUE"
"HÉMATOLOGIE CLINIQUE"
"HÉPATO – GASTRO – ENTÉROLOGIE"
"MALADIES INFECTIEUSES ET TROPICALES"
"MÉDECINE GÉRIATRIQUE"
"MÉDECINE INTENSIVE ET RÉANIMATION – R3S"
"MÉDECINE INTENSIVE ET RÉANIMATION À ORIENTATION NEUROLOGIQUE"
"MÉDECINE INTERNE ET IMMUNOLOGIE CLINIQUE"
"MÉDECINE INTERNE 2 – MALADIES AUTO-IMMUNES ET SYSTÉMIQUES"
"MÉDECINE PHYSIQUE ET RÉADAPTATION"
"NÉONATOLOGIE"
"NÉPHROLOGIE"
"NEUROCHIRURGIE"
"NEURO-MYOLOGIE"
"NEUROLOGIE"
"NEUROPATHOLOGIE"
"NEUROPHYSIOLOGIE"
"NUTRITION"
"ODONTOLOGIE"
"ONCOGÉNÉTIQUE"
"ONCOLOGIE MÉDICALE"
"ONCO-NEUROLOGIE"
"ONCOLOGIE RADIOTHÉRAPIE"
"OPHTALMOLOGIE"
"OTO – RHINO – LARYNGOLOGIE"
"PASS BUCCO-DENTAIRE"
"PATHOLOGIES DU SOMMEIL"
"PATHOLOGIES THYROÏDIENNES ET TUMORALES ENDOCRINES"
"PHARMACIE À USAGE INTÉRIEUR"
"PHARMACOLOGIE MÉDICALE"
"PSYCHIATRIE ADULTE"
"PSYCHIATRIE DE L’ENFANT ET DE L’ADOLESCENT"
"RÉANIMATION MÉDICALE"
"RHUMATOLOGIE"
"SERVICE D’ACCUEIL DES URGENCES"
"SOINS DE SUITE ET DE RÉADAPTATION"
"STOMATOLOGIE ET CHIRURGIE MAXILLO-FACIALE"
"UNITÉ MOBILE D’ACCOMPAGNEMENT ET DE SOINS PALLIATIFS"
"TRANSPLANTATION RÉNALE"
"URGENCES CÉRÉBRO-VASCULAIRES"
"URGENCES DENTAIRES"
"UROLOGIE"
