"LABORATOIRE"
"ANATOMIE ET CYTOLOGIE PATHOLOGIQUES"
"BACTÉRIOLOGIE ET HYGIENE HOSPITALIERE"
"BIOCHIMIE ENDOCRINIENNE ET ONCOLOGIE"
"BIOCHIMIE MÉTABOLIQUE"
"BIOTHÉRAPIES"
"COPROLOGIE FONCTIONNELLE"
"IMMUNOLOGIE"
"GÉNÉTIQUE MÉDICALE – PITIE-SALPÉTRIÈRE"
"HÉMATOLOGIE BIOLOGIQUE"
"NEUROPATHOLOGIE"
"ONCOGÉNÉTIQUE"
"PARASITOLOGIE – MYCOLOGIE"
"LABORATOIRE DE SUIVI THÉRAPEUTIQUE PHARMACOLOGIQUE SPÉCIALISÉ"
"VIROLOGIE"
